sic64,total_assets_2016,total_assets_2017,total_assets_2018,total_assets_2019,total_assets_2020,total_assets_2021,total_liabilities_2016,total_liabilities_2017,total_liabilities_2018,total_liabilities_2019,total_liabilities_2020,total_liabilities_2021,net_assets_2016,net_assets_2017,net_assets_2018,net_assets_2019,net_assets_2020,net_assets_2021
29,569113.541548878,1007288.76913418,1085202.68107317,NA,NA,NA,-342386.156411861,-656392.921782887,-738037.969571596,NA,NA,NA,911499.697960739,1663681.690917067,1823240.650644766,NA,NA,NA
1,439675,477916,502231,555597,577727,NA,-195918,-232483,-245770,-297365,-324219,NA,635593,710399,748001,852962,901946,NA
1,505377.148,557092,608634,568489,529510,NA,-272698.455,-298459,-312487,-297656,-258453,NA,778075.603,855551,921121,866145,787963,NA
1,101037,134267,130400,134077,132895,NA,-96157,-130178,-125646,-128787,-127553,NA,197194,264445,256046,262864,260448,NA
1,96826,108159,106492,103754,98807,NA,-77407,-92173,-90532,-90566,-84753,NA,174233,200332,197024,194320,183560,NA
48,739100,797600,789200,824100,868700,851000,-364600,-398300,-372600,-320500,-359900,-352900,1103700,1195900,1161800,1144600,1228600,1203900
1,234045,255745,278699,270427,248910,NA,-173860,-192366,-212108,-207165,-176687,NA,407905,448111,490807,477592,425597,NA
5,218174,246009,322170,352783,382229,NA,-122364,-125072,-170011,-164129,-222581,NA,340538,371081,492181,516912,604810,NA
29,106310,114882,112336,122736,127238,NA,-52755,-59104,-54390,-61458,-66906,NA,159065,173986,166726,184194,194144,NA
1,46569,53159,60424,69252,80444,NA,-37065,-42052,-47163,-53653,-62324,NA,83634,95211,107587,122905,142768,NA
1,73760,87089,89956,100007,94087,NA,-52135,-67627,-67696,-75181,-67619,NA,125895,154716,157652,175188,161706,NA
1,178774,100108,106213,112858,NA,118775,-46040,-59829,-64100,-63036,NA,-64013,224814,159937,170313,175894,NA,182788
1,813800,576200,610100,605100,582200,NA,-483000,-207800,-214600,-209400,-205600,NA,1296800,784000,824700,814500,787800,NA
1,270786,252614,264599,280586,288760,NA,-248257,-229652,-228192,-251451,-280814,NA,519043,482266,492791,532037,569574,NA
