date,year,quarter,Agriculture,Forestry,Fishing,Mining,Manufacturing: food,Manufacturing: textiles,Manufacturing: wood,Manufacturing: paper,Printing,Manufacturing: coke,Manufacturing: chemicals,Manufacturing: pharmaceuticals,Manufacturing: rubber,Manufacturing: minerals,Manufacturing: metals,Manufacturing: fabricated metals,Manufacturing: computers,Manufacturing: electrical,Manufacturing: machinery,Manufacturing: motor vehicles,Manufacturing: other transport,Manufacturing: other,Machinery repair,Electricity,Water,Sewerage,Construction,Wholesale/retail: motor vehicles,Wholesale: other,Retail: other,Land transport,Water transport,Air transport,Warehousing,Postal,Accommodation/food services,Publishing,Film,Telecoms,Programming,Financial,Insurance,Other financial/insurance services,Real estate,Imputed rents,Legal/accounting,Architecture,R&D,Advertising,Other professional,Rental services,Employment services,Travel,Other office services,Public administration,Education,Health,Social work,Arts,Sports,Membership organizations,Household goods repair,Other personal services,Household employers
1997-12-31,1997,4,-268,-3,3,219,935,406,75,171,-14,37,241,182,52,19,-42,-158,937,268,166,888,-869,299,0,24,1,-15,61,0,0,0,0,0,0,0,0,0,97,198,0,54,0,0,0,0,0,82,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998-12-31,1998,4,-41,46,-27,1131,295,62,144,-9,17,409,407,-21,118,-66,-63,38,1363,-95,22,1089,-425,53,0,-105,-9,-3,861,0,0,0,0,0,0,0,0,0,11,9,0,-17,0,0,0,0,0,44,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-12-31,1999,4,-166,-1,31,-1049,377,619,330,-8,-1,-583,269,280,137,-47,153,264,1073,180,238,413,303,292,0,-122,-5,-38,1145,0,0,0,0,0,0,0,0,0,139,-216,0,75,0,0,0,0,0,79,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-12-31,2000,4,120,-1,-102,-656,59,370,166,131,6,-703,345,402,39,148,169,163,2066,154,381,419,881,293,0,15,3,-39,410,0,0,0,0,0,0,0,0,0,181,24,0,118,0,0,0,0,0,31,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-12-31,2001,4,-673,44,6,368,66,312,-23,-64,8,-43,63,91,62,-241,-175,-218,1001,-134,-270,1333,406,-78,0,-48,-2,-9,2178,0,0,0,0,0,0,0,0,0,112,-25,0,117,0,0,0,0,0,35,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-12-31,2002,4,543,12,12,-273,508,627,116,110,20,-456,529,203,-104,-136,166,72,899,-29,-152,551,-229,312,0,-20,2,-25,1374,0,0,0,0,0,0,0,0,0,93,12,0,98,0,0,0,0,0,-6,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-12-31,2003,4,75,-9,-65,-487,127,349,31,47,57,-45,46,-215,189,49,110,0,240,18,5,1049,-539,26,0,-19,-1,-13,1211,0,0,0,0,0,0,0,0,0,64,12,0,93,0,0,0,0,0,70,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-12-31,2004,4,-473,-4,2,-945,608,381,83,-265,10,-260,-273,8,171,51,-35,-22,570,87,509,1314,-501,116,0,114,2,-48,1512,0,0,0,0,0,0,0,0,0,61,27,0,19,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-12-31,2005,4,-232,13,59,5,130,201,142,124,-15,247,148,466,-36,223,210,87,659,104,209,526,226,-87,0,-126,-4,23,458,0,0,0,0,0,0,0,0,0,63,3,0,86,0,0,0,0,0,47,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-12-31,2006,4,-7,11,-37,150,211,357,193,-8,-91,943,403,492,168,162,-98,180,839,44,589,63,490,201,0,241,15,81,-116,0,0,0,0,0,0,0,0,0,105,11,0,52,0,0,0,0,0,-5,-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-12-31,2007,4,-511,-14,27,-439,637,719,105,16,35,127,-329,17,46,5,315,-314,677,201,428,1657,209,382,0,101,55,27,2121,0,0,0,0,0,0,0,0,0,210,-1,0,80,0,0,0,0,0,22,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-12-31,2008,4,708,-32,14,199,165,-545,95,-23,-51,-180,-395,-240,-172,-266,-120,-197,143,-321,76,280,514,-428,0,-112,99,218,-10,0,0,0,0,0,0,0,0,0,-290,-35,0,69,0,0,0,0,0,123,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-12-31,2009,4,-217,349,-38,-47,1384,-227,-762,-68,-53,-12,-947,44,-302,-544,-1379,-781,-324,-879,-1579,-7175,473,-674,0,398,-112,-15,-7467,0,0,0,0,0,0,0,0,0,144,27,0,227,0,0,0,0,0,-55,-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-12-31,2010,4,-478,-282,-41,-1309,1873,577,67,-9,-5,-74,421,800,169,187,137,296,439,426,240,2355,-441,701,0,12,3,83,-4558,0,0,0,0,0,0,0,0,0,91,-48,0,78,0,0,0,0,0,13,-248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-12-31,2011,4,401,151,-52,-699,-386,-323,-146,-83,59,13,1489,-219,44,-15,969,-214,-457,152,298,1973,-406,102,0,-347,-22,232,34,0,0,0,0,0,0,0,0,0,-150,89,0,-52,0,0,0,0,0,334,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-31,2012,4,-1043,249,65,-255,395,1338,167,8,-15,669,-1359,696,-15,-77,-264,112,79,-20,277,1598,137,121,0,248,5,-50,1791,0,0,0,0,0,0,0,0,0,-25,-115,0,62,0,0,0,0,0,8,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-31,2013,4,80,42,-62,682,155,-364,-449,15,54,560,669,-700,145,211,-24,73,-47,338,886,1079,475,-432,0,95,-1,57,-834,0,0,0,0,0,0,0,0,0,-60,55,0,117,0,0,0,0,0,183,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-31,2014,4,1656,-94,127,974,1804,1697,621,100,-18,118,876,852,174,542,459,528,-29,371,1311,2380,184,-22,0,-320,-17,-186,529,0,0,0,0,0,0,0,0,0,-35,433,0,103,0,0,0,0,0,117,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-31,2015,4,732,48,-22,1072,1781,508,-286,-62,179,-588,142,-115,-106,-646,39,-841,-783,-530,-1052,3110,-413,107,0,179,10,124,5035,0,0,0,0,0,0,0,0,0,17,86,0,56,0,0,0,0,0,358,467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
