industry,nobs,y16,y17,y18,y19,y20,y21,alpha,gamma,sigma
1,4024,13.473178092127464,13.483772050533357,13.50108914105433,13.389919055421897,13.371661156829763,12.87596309403997,0.8176881154265141,0.24151738830966551,1.4097553365637183
2,475,10.172214921341645,10.208466433499199,10.388117759068084,10.060693926115986,10.150813000871047,9.913100287065383,0.9783978193383306,0.17406593912279833,1.5017327954444815
3,438,10.982177520153146,11.05237843010971,11.117996275643355,10.955479125768342,11.119912849416352,10.541149508962087,0.9890593598450824,0.23971558616389357,1.5186570540262605
4,2696,14.907907807562882,14.971275217976384,14.965982503384934,15.027951785341797,14.842278323254206,14.803457471106526,0.6930809256078223,0.2638902243228718,1.5665286307955033
5,7114,14.62292813958893,14.658579545149687,14.669600140902848,14.563945725977463,14.49729217223701,14.37387046604899,0.654358698342542,0.32274064554273424,1.1338759854861655
6,2197,12.588217143383202,12.53221840351618,12.513298075185327,12.27062785516137,12.083822816936301,11.724099392267888,0.7746612993533856,0.23980596809894678,1.1586643507069758
7,1171,10.727986056423358,10.668190432743286,10.725454035607923,10.638234658162315,10.613177791070974,10.57040526253468,0.8963251226359918,0.19565350132369083,0.8947922194942162
8,1399,13.695365909504067,13.710620213481102,13.78671797146319,13.714194008875053,13.660750271060557,13.360239886821445,0.9662608363194932,0.12125188758610897,0.7927447211063187
9,1808,11.272944764917181,11.298263572864625,11.288800464088174,11.23123345276463,11.091971517158262,10.977758449528569,1.1001073013859857,0.06466564097332873,0.7549511345404806
10,200,12.553038470074767,12.672975482861409,12.717715670559127,12.842595874449236,12.549100732505162,12.930904481995578,1.1819381086878666,0.1370952635248626,1.4911148516624941
11,3335,12.364386539453191,12.458923323587989,12.497618538845144,12.419565579421198,12.385311963023764,12.0210935526004,0.7017751919949483,0.20085047183441568,1.1133355019948736
12,1342,14.314527865263731,14.317011491381061,14.42125504599438,14.393834233799582,14.402943590629798,13.984260038821176,0.6462397298567468,0.17853642717206777,1.2829046364475476
13,3288,11.947338977875486,11.987235658300976,12.014389028439231,11.992987546859423,11.961235970085824,11.685998818616827,0.7732193872029203,0.16316369703008268,0.7179107656136829
14,1354,11.56966614018976,11.50164906884716,11.5155337893707,11.565825169400654,11.500306554990427,10.906869019426965,0.7657555198433166,0.2387223612437046,0.8659878077943763
15,1321,13.487567817039047,13.55895047410428,13.641287815087749,13.658428266476374,13.513919924726816,13.205480814266668,0.6420451111295576,0.24277915059332988,1.0165258133329347
16,6994,10.645896278633762,10.69473410808618,10.732612058498066,10.72536778828715,10.637963203842567,10.55224054168613,0.993237862660505,0.08822077152230319,0.7478283298032863
17,3369,12.948629003396377,12.975272869050146,13.008787607751627,12.958555389313489,12.784964420357488,12.52713767551158,0.8588463058360974,0.1736372037562511,1.0276244668588002
18,2731,11.784812120256886,11.82885255639923,11.840109854422286,11.780562161181221,11.705749092101948,11.57665511499041,0.8149876855112436,0.13706371897105088,0.9479808246587796
19,4795,13.12669998863857,13.184783566616273,13.232060586993862,13.212620695919869,13.091907847205952,12.86459921191911,0.8460354025082593,0.1207723327495019,0.8264364260402565
20,1382,13.952767323565194,13.941523249310233,13.964017306883198,13.923140958488688,13.727981197188653,13.652540155352515,0.8682205938850586,0.18848407610708548,0.8288288497351942
21,1044,14.493623586786764,14.504334470570958,14.46181625265979,14.36620713623132,14.330348210339332,14.347647473132564,0.7808606353140889,0.23329995114550595,0.9659731432153708
22,9027,11.376847751162007,11.39796326029237,11.4361461494931,11.368769524982756,11.259111980958611,11.098784555342068,0.835629291470765,0.19167244097650496,0.9506832499355018
23,2892,12.353917209569273,12.369152484202903,12.356786784953108,12.289517315767641,12.201657467178538,11.89653008834184,1.0276976613745652,0.14175620096137365,0.9445713733884351
24,4664,13.842710353291327,13.828829738088158,14.030461860057729,14.083793689322862,14.018808006510376,13.92840019420567,0.9397449007922839,0.23427749382353638,1.5348578411368616
25,447,13.28518446297604,13.25646435862446,13.372718680159936,13.36642288482418,13.179406494765852,13.124452897857486,0.7148277172710661,0.2287378957375941,1.2012707193979015
26,2953,12.18350949472458,12.20430667227291,12.217002774756649,12.193553133755284,12.195428993440766,12.156693940139297,0.6458429175266508,0.29323910463101754,1.056375544204797
27,35174,12.891015819771123,13.253436128475798,13.251608574006005,13.23556575971358,13.107725176226726,12.92974279174074,1.0537116233711363,0.1437739064742639,1.425492487781465
28,9971,13.130823177321394,13.091096197738866,13.104484793223797,13.089609802203586,12.93473294746899,12.49678627642086,0.9779004977286639,0.1819544658350906,1.0680764527863222
29,30085,13.993431020471835,14.018670691948719,14.065169117904132,14.006003535484151,13.912848804597493,13.706611987977428,0.7383865939902913,0.15650748774814,1.2692222668912583
30,18341,14.796713766085311,14.806006323649427,14.803152855645864,14.659112102449628,14.554342199865298,14.194718622724746,0.7949678732721291,0.23514537988155182,1.2338533603696746
31,8254,13.643406981563567,13.630342360661054,13.640411375035882,13.54998958231305,13.440002662345535,13.316618875562408,0.8332275181398822,0.2039115884033416,1.038125378901521
32,1570,13.765050624654641,13.80986594108686,13.897113131279063,13.910983380391441,13.769980621985212,12.93114861891481,0.6721971106116942,0.18160469347266264,1.4708833787267017
33,974,14.188327245910445,14.20164419642209,14.209789316224748,14.227667500167534,13.864100994284808,13.033114090911589,0.7991837373378714,0.15246521786551556,1.1905456708026108
34,4654,12.670693139838427,12.735289106083584,12.76877865043592,12.633172324386269,12.520345071011981,12.18403651860425,0.8198097939063457,0.14838224326353996,1.2125136683656337
35,543,15.879803721300663,15.791221406984208,15.775306124902315,15.573175712881511,15.538688224871931,15.182808315484834,0.8918929625409826,0.2036789281821369,1.255570425641765
36,19573,12.941137407330244,12.953558614627802,12.98281618972923,12.944402048937505,12.639060576257874,12.220603304221877,0.7771656209988975,0.17614399833453837,0.9474724682310202
37,4688,13.170324981718512,13.1528289157707,13.168576440674169,13.025968405399967,12.853170165421151,12.270465613812707,0.9564875178519081,0.16820818831715198,1.3639033619581675
38,4581,13.522025051658693,13.508849151353083,13.431984059555974,13.206681096613073,12.838740917523781,12.115775025483618,1.0599993767052274,0.12929602139778815,1.69958715032495
39,3854,14.783369518321251,14.760078065386363,14.828579183926465,14.73848059406177,14.697724740718673,14.35421262345831,0.7614470906224505,0.2027495221872411,1.3027927970944226
40,24383,12.492859874813622,12.509199932551976,12.497051299582894,12.372883076099447,12.24237631806597,12.014007306013864,0.9853443303417376,0.15885312638791155,1.3176770680403815
41,28076,14.874681137501913,14.910695205810415,14.891797643873762,14.872138998892071,14.810566484441836,14.691902735069181,0.7185365944469969,0.18279927938905466,1.466220421672906
42,4481,13.800089311537546,13.957287384028106,14.167491320412493,14.111579309758865,14.23564680718274,13.985482983418011,0.7565734966735428,0.24502521500279795,1.2602112240152563
43,11186,13.874236585028074,13.857503907032605,13.877279090823054,13.856846335466479,13.895118600226827,13.87626234560708,0.8346240205166764,0.1910473943079452,1.4499521502032935
44,22384,12.223984036046122,12.174913031074807,12.197525341048388,12.180922273138215,12.03175732677348,11.776886904496857,0.960322994124271,0.23071986279995146,1.6087576424707324
45,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,28381,14.540491896571448,14.556222745876564,14.569003507783899,14.478527482648477,14.347173647676223,14.087359295294258,0.8539311699292692,0.19779672670123813,1.3384649232737258
47,7559,13.134376434357948,13.110032153695595,13.145343217574233,13.057588031646963,12.902312604445969,12.62083234570705,0.9481339935971257,0.16304589349559276,1.1670096172294433
48,3319,11.017293364124933,11.11623999260731,11.114502983964215,10.962872305861794,10.990961873652486,10.587587271926518,0.963725549732065,0.12820720691196438,1.4834030774475675
49,3719,14.57551382299859,14.53499660175551,14.594959707436768,14.462086604601046,14.22586264843653,14.0095478124265,0.950247743323569,0.1451123784002888,1.1860703342094845
50,10654,11.547111176856284,11.521204780647436,11.513649678945743,11.484534532204188,11.32755460475173,11.119753342327105,1.0042615580396392,0.13231680850302505,1.2036000287186928
51,3466,12.560263468169259,12.584778042098892,12.578353004055066,12.584436432618473,12.485200669941552,12.26139734668347,0.6999161498969828,0.3183932959202515,1.1703160763311318
52,6630,13.351413065897065,13.286937613705668,13.352665711033868,13.251293260750117,13.04137085599671,12.838750034061785,0.7342169337468076,0.23857365110347087,1.3570931026329731
53,2529,12.081317365987742,12.058474196584699,12.138814457665701,11.84565300458698,11.163207976274276,10.36078652128177,0.9247706998683316,0.10301277136360558,1.4095962803750066
54,37278,14.102357554483833,14.092975501269768,14.076649280348013,14.045708782770815,13.909581591203606,13.60215223711887,0.7923180078691086,0.21282697923264302,1.4679929427000944
55,1693,13.099400687658845,13.155690118286872,13.245744986974035,13.31323473327583,13.187914619134304,13.16137176289126,0.8525949839360464,0.18328394031902392,1.2210826379971003
56,35072,9.845564060228451,9.850966730074171,9.836483088363362,9.823679628934102,9.755249877854425,9.574068063125324,0.8616456145645105,0.11554123927730793,0.8220632342970907
57,17104,13.504157765615743,13.484256880451795,13.49520634575349,13.47247249824091,13.406122901742183,13.233796727504629,0.8096763344788273,0.14489235450244986,1.0463858137361863
58,25367,9.772601242755464,9.791707392002474,9.789345161328397,9.798744279770057,9.80891463410878,9.793592406347427,0.8033681604131683,0.10230870376566696,0.8527052014038142
59,11557,11.226737319075198,11.192188701842761,11.169434943593147,11.09885161182439,10.944526838565228,10.733648770067688,0.9422948904804159,0.08399576326019113,1.180812692702494
60,10836,10.582063489468432,10.600270405666702,10.624208723422859,10.609548588871608,10.397767128213012,10.119672828545783,0.8633018603606648,0.16320938176373812,1.2014647718999767
61,17805,11.122193214654535,11.168795522455701,11.149978428379294,11.154381819008288,11.118296436707302,11.087578843292851,0.8565174522686242,0.09959973945809616,1.0093968248542358
62,414,12.788498934673939,12.747628735726115,12.6688228706739,12.570076357320469,12.374725343503863,11.915515226045407,0.9890915972889514,0.1787894356456671,0.9523701175317892
63,14694,12.000395468914338,11.974729141740736,11.992833278886224,11.943885665620996,11.785028886078512,11.53624700887731,0.8919007314658508,0.18528461951470562,1.2839274220510037
64,350,11.636221235245308,11.619055000199882,11.204525094052784,11.457038718023766,11.442584578299769,10.69811595300817,0.8035308099137576,0.17951586816317597,1.7161071760671271
